"時点","地域コード","地域","新設住宅着工戸数（総戸数）【戸】","注記"
"2021年","03000","岩手県","6609",""
"2021年","04000","宮城県","16271",""
"2021年","05000","秋田県","4071",""
"2021年","06000","山形県","5187",""
"2021年","07000","福島県","9791",""
"2021年","08000","茨城県","18334",""
"2021年","09000","栃木県","11423",""
"2021年","10000","群馬県","10948",""
"2021年","11000","埼玉県","50154",""
"2021年","12000","千葉県","45042",""
"2021年","13000","東京都","134079",""
"2021年","14000","神奈川県","63864",""
"2021年","15000","新潟県","10708",""
"2021年","16000","富山県","5518",""
"2021年","17000","石川県","7265",""
"2021年","18000","福井県","5047",""
"2021年","19000","山梨県","4513",""
"2021年","20000","長野県","12060",""
"2021年","21000","岐阜県","11364",""
"2021年","22000","静岡県","21271",""
"2021年","23000","愛知県","58940",""
"2021年","24000","三重県","10203",""
"2021年","25000","滋賀県","9715",""
"2021年","26000","京都府","16286",""
"2021年","27000","大阪府","69000",""
"2021年","28000","兵庫県","30284",""
"2021年","29000","奈良県","5900",""
"2021年","30000","和歌山県","4591",""
"2021年","31000","鳥取県","2702",""
"2021年","32000","島根県","2883",""
"2021年","33000","岡山県","11316",""
"2021年","34000","広島県","17809",""
"2021年","35000","山口県","7832",""
"2021年","36000","徳島県","3044",""
"2021年","37000","香川県","5718",""
"2021年","38000","愛媛県","8069",""
"2021年","39000","高知県","2790",""
"2021年","40000","福岡県","40298",""
"2021年","41000","佐賀県","5112",""
"2021年","42000","長崎県","6292",""
"2021年","43000","熊本県","13063",""
"2021年","44000","大分県","6260",""
"2021年","45000","宮崎県","6796",""
"2021年","46000","鹿児島県","9963",""
"2021年","47000","沖縄県","9668",""
