"時点","地域コード","地域","売上高（サービス産業）（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（運輸業，郵便業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（不動産業，物品賃貸業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（学術研究，専門・技術サービス業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（宿泊業，飲食サービス業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（生活関連サービス業，娯楽業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（教育，学習支援業）（サービス産業動向調査拡大調査）【百万円】","注記","売上高（医療，福祉）（サービス産業動向調査拡大調査）【百万円】","注記"
"2015年","41000","佐賀県","1373244","","283164","","92716","","55951","","117469","","300921","","9893","","406348",""
"2015年","42000","長崎県","2110264","","230681","","125197","","153853","","250946","","433162","","21205","","644481",""
"2015年","43000","熊本県","2704170","","426920","","343804","","152838","","227462","","416625","","36941","","811105",""
"2015年","44000","大分県","2041271","","257938","","200731","","145624","","249070","","428680","","22588","","621947",""
"2015年","45000","宮崎県","1669710","","267736","","147005","","93212","","185130","","277142","","13259","","547514",""
"2015年","46000","鹿児島県","2588333","","425764","","247425","","127386","","275469","","388025","","17502","","876168",""
"2015年","47000","沖縄県","2080182","","239531","","307500","","153308","","343206","","229558","","26490","","583640",""
"2016年","01000","北海道","12491839","","2328421","","1811985","","840571","","1293398","","1932757","","85352","","2597818",""
"2016年","02000","青森県","2288370","","455423","","159822","","137155","","197052","","412436","","12146","","610427",""
"2016年","03000","岩手県","2303425","","412211","","231128","","141591","","239637","","431165","","19210","","607418",""
"2016年","04000","宮城県","5187876","","977629","","930643","","408162","","480309","","688939","","49593","","1000635",""
"2016年","05000","秋田県","1696514","","255290","","119581","","76921","","139077","","408699","","12233","","534089",""
"2016年","06000","山形県","1534778","","228538","","156269","","85673","","154952","","205792","","25548","","488450",""
"2016年","07000","福島県","3567628","","627029","","336082","","419849","","443257","","482133","","37061","","772024",""
"2016年","08000","茨城県","5468414","","1212030","","434304","","483107","","449084","","729563","","91960","","1199765",""
"2016年","09000","栃木県","4043320","","993326","","262818","","245132","","368788","","805730","","51461","","731050",""
"2016年","10000","群馬県","3516784","","709342","","288495","","261429","","409561","","690157","","30244","","773441",""
"2016年","11000","埼玉県","12650872","","3336587","","1868098","","518911","","1121624","","1602991","","188851","","2519266",""
"2016年","12000","千葉県","12937718","","3015483","","1508245","","706485","","1349167","","2202898","","169593","","2369173",""
"2016年","13000","東京都","79648523","","14839273","","19100268","","12755613","","5432303","","9924047","","1056832","","6337254",""
"2016年","14000","神奈川県","19533829","","4645391","","2960931","","1686570","","1741802","","2567348","","288647","","3521678",""
"2016年","15000","新潟県","3980843","","846430","","351401","","259218","","460507","","689552","","49234","","931113",""
"2016年","16000","富山県","1767033","","319436","","164528","","113600","","159343","","172041","","17891","","517671",""
"2016年","17000","石川県","2149065","","447959","","258800","","143445","","342556","","245716","","25625","","448011",""
"2016年","18000","福井県","1273970","","246384","","106105","","112048","","162160","","143197","","13103","","348076",""
"2016年","19000","山梨県","1312553","","249453","","85611","","63310","","217870","","256426","","21678","","279983",""
"2016年","20000","長野県","3477804","","579167","","388860","","230599","","491756","","388828","","41285","","1030445",""
"2016年","21000","岐阜県","3245317","","623814","","322032","","169573","","426910","","484661","","46190","","872544",""
"2016年","22000","静岡県","6947467","","1484187","","911225","","468642","","847417","","949666","","133265","","1359934",""
"2016年","23000","愛知県","18714335","","4570192","","2876237","","1466921","","1661214","","2446458","","205556","","3123076",""
"2016年","24000","三重県","3631226","","857437","","285318","","194189","","436031","","711135","","37129","","689170",""
"2016年","25000","滋賀県","2114310","","449841","","237058","","114381","","252176","","258589","","28924","","519077",""
"2016年","26000","京都府","4740854","","859081","","651560","","247837","","635369","","443063","","78535","","1266677",""
"2016年","27000","大阪府","26592463","","5592231","","5222301","","2412956","","2186751","","3646353","","288369","","4268343",""
"2016年","28000","兵庫県","11283718","","3001568","","1413569","","763238","","1140061","","1438847","","161107","","2213736",""
"2016年","29000","奈良県","1467841","","221286","","183248","","74632","","229014","","159744","","34958","","427016",""
"2016年","30000","和歌山県","1449788","","266096","","94169","","67560","","144744","","169597","","29305","","529927",""
"2016年","31000","鳥取県","959132","","167644","","71812","","34468","","118759","","227104","","5047","","245502",""
"2016年","32000","島根県","1181857","","137996","","95468","","37522","","108835","","227126","","14208","","429231",""
"2016年","33000","岡山県","3834862","","1108929","","373266","","244767","","305862","","465705","","61959","","876026",""
"2016年","34000","広島県","5748384","","1298823","","780810","","444994","","482094","","629310","","71840","","1269674",""
"2016年","35000","山口県","2333788","","646700","","153353","","179605","","208715","","311197","","19687","","624941",""
"2016年","36000","徳島県","1095231","","200585","","78810","","53006","","139824","","185030","","9647","","329730",""
"2016年","37000","香川県","1961713","","470681","","170641","","234125","","160911","","301731","","18266","","429068",""
"2016年","38000","愛媛県","2182533","","533209","","182791","","135428","","250230","","262140","","16685","","582866",""
"2016年","39000","高知県","1051591","","132283","","107419","","67408","","153368","","122195","","9498","","358367",""
"2016年","40000","福岡県","11707701","","2488238","","1655462","","1061318","","1073467","","1722502","","118786","","2312409",""
"2016年","41000","佐賀県","1351051","","296526","","84824","","39062","","157593","","313725","","10548","","354778",""
"2016年","42000","長崎県","1897877","","223622","","141170","","112627","","294195","","299285","","21114","","617589",""
"2016年","43000","熊本県","2742357","","352120","","317432","","131951","","281491","","477657","","29479","","917923",""
"2016年","44000","大分県","1610937","","338042","","193315","","108966","","198991","","131600","","16263","","480173",""
"2016年","45000","宮崎県","1612045","","249810","","135873","","84192","","173804","","315100","","16287","","536447",""
"2016年","46000","鹿児島県","2315371","","380822","","220490","","148226","","300613","","258886","","21657","","794871",""
"2016年","47000","沖縄県","1959016","","251611","","285607","","181115","","311236","","257151","","20242","","503392",""
"2017年","01000","北海道","12351079","","2421724","","1804226","","886510","","1284931","","1796815","","85963","","2624795",""
"2017年","02000","青森県","2332761","","482124","","151872","","136711","","184621","","448192","","10925","","616294",""
"2017年","03000","岩手県","2238403","","417250","","231548","","141537","","236709","","363542","","19901","","607546",""
"2017年","04000","宮城県","5224530","","1004152","","966618","","391134","","498280","","576959","","50863","","1045996",""
"2017年","05000","秋田県","1667215","","260862","","116599","","78529","","139053","","340882","","12061","","572171",""
"2017年","06000","山形県","1571501","","226471","","186094","","89409","","155083","","195622","","24444","","502642",""
"2017年","07000","福島県","3600160","","642527","","306496","","410418","","431387","","519095","","31922","","821252",""
"2017年","08000","茨城県","5574120","","1280180","","462689","","516827","","436746","","675318","","89991","","1208998",""
"2017年","09000","栃木県","4073882","","1045778","","254383","","253436","","345949","","745590","","49062","","756408",""
